wind,timestamp,rain_1h,humidity,datetime,local_soil_humidity,local_soil_temperature,temp,cloud,is_test
2.1,1603683183.143935,0,81,2020-10-26 03:33:03.143956+00:00,,9.799459457397461,7.610000000000014,0,False
2.6,1603686785.2013898,0,81,2020-10-26 04:33:05.201404+00:00,,9.758480072021484,7.550000000000011,0,False
2.1,1603690386.3299792,0,87,2020-10-26 05:33:06.329997+00:00,,9.72433090209961,7.5,0,False
2.6,1603693987.4689844,0,87,2020-10-26 06:33:07.468998+00:00,,9.635541915893555,7.3700000000000045,0,False
2.6,1603697588.6877456,0,87,2020-10-26 07:33:08.687759+00:00,,9.72433090209961,7.5,0,False
4.1,1603701189.857919,0,81,2020-10-26 08:33:09.857940+00:00,,10.339022636413574,8.400000000000034,0,False
5.1,1603704791.511876,0,76,2020-10-26 09:33:11.511898+00:00,,11.718664169311523,10.420000000000016,0,False
4.1,1603708392.7271075,0,71,2020-10-26 10:33:12.727119+00:00,,12.340185165405273,11.330000000000041,20,False
4.6,1603711994.9197419,0,71,2020-10-26 11:33:14.919753+00:00,,12.78412914276123,11.980000000000018,20,False
6.2,1603715596.1627567,0,66,2020-10-26 12:33:16.162774+00:00,,13.351012229919434,12.810000000000002,75,False
7.2,1603719197.439151,0.13,71,2020-10-26 13:33:17.439165+00:00,,13.678847312927246,13.29000000000002,99,False
7.2,1603722798.6895714,0.16,62,2020-10-26 14:33:18.689581+00:00,,13.494440078735352,13.020000000000039,89,False
6.7,1603726399.819687,0,66,2020-10-26 15:33:19.819707+00:00,,13.043665885925293,12.360000000000014,20,False
6.7,1603730001.0170536,0,66,2020-10-26 16:33:21.017075+00:00,,12.756810188293457,11.939999999999998,76,False
3.6,1603733602.22509,0,71,2020-10-26 17:33:22.225112+00:00,,11.957711219787598,10.770000000000039,51,False
5.1,1603737207.8692298,0,66,2020-10-26 18:33:27.869251+00:00,,11.623044967651367,10.28000000000003,0,False
4.6,1603740812.920544,0,71,2020-10-26 19:33:32.920558+00:00,,11.138121604919434,9.57000000000005,0,False
4.1,1603748015.4128184,0,76,2020-10-26 21:33:35.412839+00:00,,10.80345630645752,8.680000000000007,2,False
4.1,1603751616.6410332,0,76,2020-10-26 22:33:36.641047+00:00,,10.53026008605957,8.650000000000034,2,False
5.1,1603755217.7507236,0,76,2020-10-26 23:33:37.750738+00:00,,10.509770393371582,7.990000000000009,2,False
3.6,1603758818.9868631,0,81,2020-10-27 00:33:38.986873+00:00,,10.058996200561523,7.8700000000000045,0,False
3.6,1603762420.1180854,0,81,2020-10-27 01:33:40.118096+00:00,,9.97703742980957,7.850000000000023,0,False
4.1,1603766021.2108173,0,81,2020-10-27 02:33:41.210839+00:00,,9.963377952575684,7.53000000000003,2,False
3.6,1603769622.4711175,0,81,2020-10-27 03:33:42.471135+00:00,,9.744821548461914,7.460000000000036,3,False
3.55,1603773223.711518,0,92,2020-10-27 04:33:43.711540+00:00,,9.697011947631836,7.5400000000000205,16,False
2.6,1603776824.9020388,0,87,2020-10-27 05:33:44.902053+00:00,,9.7516508102417,7.670000000000016,30,False
2.1,1603780426.0654025,0,87,2020-10-27 06:33:46.065421+00:00,,9.840438842773438,8.010000000000048,28,False
2.1,1603784027.2820652,1,81,2020-10-27 07:33:47.282076+00:00,,10.072656631469727,8.550000000000011,100,False
2.1,1603787628.437419,1.42,81,2020-10-27 08:33:48.437436+00:00,,10.441471099853516,9.230000000000018,75,False
4.93,1603791230.0675352,0,92,2020-10-27 09:33:50.067545+00:00,,10.905904769897461,9.510000000000048,100,False
3.1,1603794832.0451775,0.29,81,2020-10-27 10:33:52.045191+00:00,,11.097143173217773,10.480000000000018,75,False
5.31,1603798433.3342009,1.28,94,2020-10-27 11:33:53.334219+00:00,,11.7596435546875,11.25,100,False
4.6,1603802034.8974054,0,87,2020-10-27 12:33:54.897422+00:00,,12.28554630279541,12.050000000000011,90,False
7.3,1603805637.3506763,0.31,94,2020-10-27 13:33:57.350695+00:00,,12.831939697265625,12.140000000000043,100,False
